"id","Name","City","Country","IATA","Latitude","Longitude"
"3606","Charleston Air Force Base-International Airport","Charleston","United States","CHS","32.89860153","-80.04049683"
"5706","Takaka Airport","Takaka","New Zealand","KTF","-40.81330109","172.7749939"
"8381","Wenshan","Wenshan Zhuangzumiaozuzizhizhou","China","WNH","23.373","104.249"
"976","N'Djamena International Airport","N'djamena","Chad","NDJ","12.1337","15.034"
"5313","Spirit of St Louis Airport","Null","United States","SUS","38.66210175","-90.65200043"
"2776","Khabarovsk-Novy Airport","Khabarovsk","Russia","KHV","48.52799988","135.1880035"
"8813","Las Cruces Airport","","Colombia","SNT","7.38322","-73.505402"
"10076","Arboletes Airport","Arboletes","Colombia","ARO","8.85705","-76.4244"
"1595","Humberto Delgado Airport (Lisbon Portela Airport)","Lisbon","Portugal","LIS","38.7813","-9.13592"
"7182","Juan Simons Vela Airport","Rioja","Peru","RIJ","-6.067860126","-77.16000366"
"954","Lichinga Airport","Lichinga","Mozambique","VXC","-13.274","35.2663"
"2443","Francisco Vilela do Amaral Airport","Itumbiara","Brazil","ITR","-18.44470024","-49.21340179"
"5224","Montrose Regional Airport","Montrose CO","United States","MTJ","38.50979996","-107.8939972"
"3104","Sultan Abdul Halim Airport","Alor Setar","Malaysia","AOR","6.189670086","100.3980026"
"9986","Hayfields Airport","Hayfield","Papua New Guinea","HYF","-3.69838","143.057902"
"7044","Mangochi Airport","Mangochi","Malawi","MAI","-14.4829998","35.26699829"
"9755","Francisco Primo de Verdad y Ramos Airport","Santa Rosa","Mexico","LOM","21.258983","-101.943758"
"1794","Cancún International Airport","Cancun","Mexico","CUN","21.03650093","-86.87709808"
"5310","Prince Rupert/Seal Cove Seaplane Base","Prince Rupert","Canada","ZSW","54.33330154","-130.2830048"
"4975","Changzhi Airport","Changzhi","China","CIH","36.247501","113.125999"
"9694","Nephi Municipal Airport","Nephi","United States","NPH","39.73880005","-111.8720016"
"10502","Eva Downs Airport","","","EVD","-18.00099945","134.8630066"
"6441","Bijie Feixiong Airport","Bijie","China","BFJ","27.267066","105.472097"
"4205","Quaqtaq Airport","Quaqtaq","Canada","YQC","61.04639816","-69.61779785"
"4903","Griffith Airport","Griffith","Australia","GFF","-34.25080109","146.0670013"
"2703","La Fria Airport","La Fria","Venezuela","LFR","8.239167213","-72.27102661"
"9982","Anguganak Airport","Yemnu","Papua New Guinea","AKG","-3.560504","142.217307"
"750","Flugplatz Kitzingen","Kitzingen","Germany","KZG","49.743099","10.2006"
"8375","CASTRO/GAMBOA","Castro","Chile","WCA","-42.485","-73.7722"
"357","Siegerland Airport","Siegerland","Germany","SGE","50.70769882","8.082969666"
"2650","Comandante FAP German Arias Graziani Airport","Anta","Peru","ATA","-9.347439766","-77.5983963"
"9239","Pakyong Airport","Pakyong","India","PYG","27.2313","88.587196"
"9476","Goshen Municipal Airport","Goshen","United States","GSH","41.52640152","-85.79290009"
"430","Kauhajoki Airport","Kauhajoki","Finland","KHJ","62.46250153","22.39310074"
"3753","Panevėžys Air Base","Panevezys","Lithuania","PNV","55.72940063","24.46080017"
"7886","Hollis","Hollis","United States","HYL","55.4816","-132.6461"
"3830","Appleton International Airport","Appleton","United States","ATW","44.2580986","-88.51909637"
"9445","Farmington Regional Airport","Farmington","United States","FAM","37.76110077","-90.4285965"
"4684","Toledo Airport","Toledo","Brazil","TOW","-24.6863","-53.697498"
"1591","Pico Airport","Pico","Portugal","PIX","38.554298","-28.441299"
"8180","GUAIRA","","Brazil","QGA","-24.0792","-54.1875"
"7772","Chicken","Chicken","United States","CKX","64.0713","-141.9523"
"8929","Sabi Sabi Airport","Sabie Park","South Africa","GSS","-24.94737543","31.44884777"
"3432","Wright AAF (Fort Stewart)/Midcoast Regional Airport","Wright","United States","LIY","31.889099","-81.562303"
"2030","Omidiyeh Airport","Omidyeh","Iran","OMI","30.83519936","49.53490067"
"5364","Orcas Island Airport","Eastsound","United States","ESD","48.70819855","-122.9100037"
"10046","Espinosa Airport","","Brazil","ESI","-14.93369444","-42.81"
"6873","Karl Stefan Memorial Airport","Norfolk  Nebraska","United States","OFK","41.98550034","-97.43509674"
"814","Newcastle Airport","Newcastle","South Africa","NCS","-27.77059937","29.9769001"
"2505","Eurico de Aguiar Salles Airport","Vitoria","Brazil","VIX","-20.258057","-40.286388"
"10275","Dongsha Island (Pratas Island) Airport","","","DSX","20.7066","116.721001"
"9159","Haibei Qilian Airport","Haibei Zangzuzizhizhou","China","HBQ","38.012","100.644"
"4043","Cheddi Jagan International Airport","Georgetown","Guyana","GEO","6.498549938","-58.2541008"
"6769","Hechi Jinchengjiang Airport","Hechi","China","HCJ","24.805","107.6997"
"1926","Raiatea Airport","Raiatea Island","French Polynesia","RFP","-16.7229","-151.466003"
"6620","Plínio Alarcom Airport","Tres Lagoas","Brazil","TJL","-20.75419998","-51.68420029"
"4477","Pécs-Pogány Airport","Pécs-Pogány","Hungary","PEV","45.990898","18.240996"
"7894","INGHAM","Ingham","Australia","IGH","-18.6656","146.1475"
"4107","Longjia Airport","Changchun","China","CGQ","43.99620056","125.6849976"
"7555","Shirdi Airport","Shirdi","India","SAG","19.688611","74.378889"
"2236","Tokushima Airport/JMSDF Air Base","Tokushima","Japan","TKS","34.132801","134.606995"
"4408","Athens Ben Epps Airport","Athens","United States","AHN","33.94860077","-83.32630157"
"943","Lambarene Airport","Lambarene","Gabon","LBQ","-0.704388976","10.24569988"
"9824","Flamingo Airport","Brasilito","Costa Rica","FMG","10.41860008","-85.78269958"
"6161","General Villamil Airport","Isabela","Ecuador","IBB","-0.942628026","-90.95300293"
"4948","Gove Airport","Gove","Australia","GOV","-12.26939964","136.8179932"
"8958","Batangafo Airport","Batangafo","Central African Republic","BTG","7.314109802","18.30879974"
"8878","Boundiali Airport","Boundiali","Côte D'Ivoire","BXI","9.532999992","-6.467000008"
"9145","Metema Airport","Metema","Ethiopia","ETE","12.93299961","36.16699982"
"9113","Tchien Airport","Zwedru","Liberia","THC","6.04565","-8.138723"
"1782","Los Cabos International Airport","San Jose Del Cabo","Mexico","SJD","23.15180016","-109.7210007"
"2794","Pulkovo Airport","St. Petersburg","Russia","LED","59.8003006","30.26250076"
"9753","Munbil Airport","Bogut","Papua New Guinea","LNF","-4.855941","141.220165"
"3578","Millington-Memphis Airport","Millington","United States","NQA","35.356701","-89.8703"
"6282","Alldays Airport","Alldays","South Africa","ADY","-22.67900085","29.05550003"
"5068","Unst Airport","Unst","United Kingdom","UNT","60.74720001","-0.853850007"
"4385","Assiut International Airport","Asyut","Egypt","ATZ","27.04649925","31.01199913"
"2205","Fukue Airport","Fukue","Japan","FUJ","32.66630173","128.8329926"
"2201","Okushiri Airport","Okushiri","Japan","OIR","42.07170105","139.4329987"
"9735","Les Sables-d'Olonne Talmont Airport","Les Sables-D'Olonne","France","LSO","46.47689819","-1.722779989"
"5349","Mc Cook Ben Nelson Regional Airport","McCook","United States","MCK","40.20629883","-100.5920029"
"3216","Hilo International Airport","Hilo","United States","ITO","19.72139931","-155.0480042"
"548","Oxford (Kidlington) Airport","Oxford","United Kingdom","OXF","51.8368988","-1.320000052"
"3766","Ta'izz International Airport","Taiz","Yemen","TAI","13.68599987","44.13909912"
"8556","Candle 2 Airport","Candle","United States","CDL","65.90769959","-161.9259949"
"8417","  Qualicum Beach","Qualicum Beach","Canada","XQU","49.3372","-124.3939"
"3272","Acadiana Regional Airport","Louisiana","United States","ARA","30.0378","-91.883904"
"8380","West Angelas","Newman","Australia","WLP","-23.1369","118.7065"
"4225","Oxford House Airport","Oxford House","Canada","YOH","54.93330002","-95.27890015"
"10631","Shay Gap Airport","","","SGP","-20.42469978","120.1409988"
"9513","Kira Airport","Tiwa","Papua New Guinea","KIQ","-8.065111111","147.3320278"
"3509","Calexico International Airport","Calexico","United States","CXL","32.66949844","-115.5130005"
"1151","Lake Manyara Airport","Lake Manyara","Tanzania","LKY","-3.37631011","35.81829834"
"9413","Angama Airport","Kawai","Kenya","ANA","-1.27156","34.955513"
"91","Maniwaki Airport","Maniwaki","Canada","YMW","46.27280045","-75.99060059"
"9263","Council Airport","Council","United States","CIL","64.89790344","-163.7030029"
"9524","Triangle North Executive Airport","Louisburg","United States","LFN","36.0233","-78.330299"
"10647","Tobermorey Airport","","","TYP","-22.25580025","137.9530029"
"8637","Haivaro Airport","Haivaro","Papua New Guinea","HIT","-6.9406","143.059"
"6467","Maranggo Airport","Sulawesi Tenggara","Indonesia","TQQ","-5.764570236","123.9169998"
"10550","Lawn Hill Airport","","","LWH","-18.56830025","138.6349945"
"10165","Currais Novos Airport","","Brazil","QCP","-6.280832767","-36.54027939"
"1428","Leros Airport","Leros","Greece","LRS","37.184898","26.800301"
"3125","Brisbane Archerfield Airport","Brisbane","Australia","ACF","-27.57029915","153.0079956"
"8040","Monteagudo","La Herradura","Bolivia","MHW","-19.4925","-63.5745"
"10213","Santa Vitória do Palmar Airport","","Brazil","CTQ","-33.50222397","-53.3441658"
"1489","Milano Linate Airport","Milan","Italy","LIN","45.445099","9.27674"
"10291","Preobrazheniye Airport","Preobrazheniye","Russia","RZH","42.921698","133.904438"
"9040","Salima Airport","Senga","Malawi","LMB","-13.7558927","34.58418846"
"173","Abbotsford Airport","Abbotsford","Canada","YXX","49.02529907","-122.3610001"
"1835","Jacmel Airport","Jacmel","Haiti","JAK","18.24110031","-72.51850128"
"2835","Kurumoch International Airport","Samara","Russia","KUF","53.50490189","50.16429901"
"10348","Kyauktu Airport","Kyaukhtu","Myanmar (Burma)","KYT","21.39999962","94.13330078"
"704","Gällivare Airport","Gallivare","Sweden","GEV","67.13240051","20.81459999"
"10399","Muhammad Taufiq Kiemas Airport","","Indonesia","TFY","-5.211562","103.936501"
"1977","Wanganui Airport","Wanganui","New Zealand","WAG","-39.96220016","175.0249939"
"2190","Hakodate Airport","Hakodate","Japan","HKD","41.77000046","140.8220062"
"4848","Long Lellang Airport","Long Datih","Malaysia","LGL","3.421000004","115.1539993"
"9448","Fresno Chandler Executive Airport","Fresno","United States","FCH","36.732399","-119.82"
"10485","Daly River Airport","Nauiyu","Australia","DVR","-13.7498064","130.6938782"
"10625","Rutland Plains Airport","Kowanyama","Australia","RTP","-15.64330006","141.8430023"
"8184","LA GOMERA","Playa Santiago","Spain","QGZ","28.0296","-17.2146"
"5016","Huangyan Luqiao Airport","Huangyan","China","HYN","28.56220055","121.4290009"
"79","Schefferville Airport","Schefferville","Canada","YKL","54.80530167","-66.80529785"
"8484","Munich Rail (DE)","München","Germany","ZMU","48.1394","11.5609"
"4443","Lancaster Airport","Lancaster","United States","LNS","40.12170029","-76.2960968"
"9205","Anggi Airport","","Indonesia","AGD","-1.3858","133.8737"
"3169","Wagga Wagga City Airport","Wagga Wagga","Australia","WGA","-35.16529846","147.4660034"
"7781","CALVERTON/NAVAL WEAPONS INDUS.","Calverton","United States","CTO","40.9067","-72.7917"
"8529","Marlboro Airport","Marlborough","United States","MXG","42.343201","-71.509002"
"940","Xangongo Airport","Xangongo","Angola","XGN","-16.7553997","14.96529961"
"1449","Thessaloniki Macedonia International Airport","Thessaloniki","Greece","SKG","40.5196991","22.97089958"
"8505","Dunsmuir Muni-Mott Airport","Mount Shasta","United States","MHS","41.263199","-122.272003"
"8859","Fada N'gourma Airport","Fada-Ngourma","Burkina Faso","FNG","12.03299999","0.349999994"
"10423","Vinh Long Airfield","","Vietnam","XVL","10.2509","105.9445"
"5563","Tsletsi Airport","Djelfa","Algeria","QDJ","34.6657","3.351"
"6328","Georgetown County Airport","Georgetown","United States","GGE","33.31169891","-79.31960297"
"5365","Astoria Regional Airport","Astoria","United States","AST","46.15800095","-123.8789978"
"4022","Barnstable Municipal Boardman Polando Field","Barnstable","United States","HYA","41.66930008","-70.28040314"
"5003","Bayankhongor Airport","Bayankhongor","Mongolia","BYN","46.16329956","100.7040024"
"4782","Andizhan Airport","Andizhan","Uzbekistan","AZN","40.72769928","72.29399872"
"9496","Billy Mitchell Airport","Frisco","United States","HNC","35.23279953","-75.61779785"
"1476","Sigonella Navy Air Base","Sigonella","Italy","NSY","37.401699","14.9224"
"4467","Victoria Regional Airport","Victoria","United States","VCT","28.8526001","-96.91850281"
"3290","Tipton Airport","Fort Meade","United States","FME","39.08539963","-76.75939941"
"3912","Diosdado Macapagal International Airport","Angeles City","Philippines","CRK","15.186","120.559998"
"7254","Corowa Airport","","Australia","CWW","-35.99470139","146.3569946"
"7990","Thorne Bay","Thorne Bay","United States","KTB","55.688","-132.5367"
"3028","Tan Son Nhat International Airport","Ho Chi Minh City","Vietnam","SGN","10.81879997","106.6520004"
"6030","Ourilândia do Norte Airport","Ourilandia do Norte","Brazil","OIA","-6.763100147","-51.04990005"
"278","Tahoua Airport","Tahoua","Niger","THZ","14.8757","5.265359879"
"2100","Dubai International Airport","Dubai","United Arab Emirates","DXB","25.25279999","55.36439896"
"3262","Boone County Airport","Harrison","United States","HRO","36.26150131","-93.15470123"
"4417","Brunswick Golden Isles Airport","Brunswick","United States","BQK","31.25880051","-81.46649933"
"8901","Abu Rudeis Airport","","","AUE","28.89900017","33.20249939"
"1138","Damazin Airport","Damazin","Sudan","RSS","11.7859","34.3367"
"5492","Playa Samara/Carrillo Airport","Carrillo","Costa Rica","PLD","9.870510101","-85.48139954"
"5177","Taree Airport","Taree","Australia","TRO","-31.8885994","152.5140076"
"2781","Yuzhno-Sakhalinsk Airport","Yuzhno-sakhalinsk","Russia","UUS","46.88869858","142.7180023"
"96","Old Crow Airport","Old Crow","Canada","YOC","67.57060242","-139.8390045"
"8526","Reese Airpark","Reese Center","United States","REE","33.59030151","-102.0370026"
"4121","Ngorangora Airport","Kirakira","Solomon Islands","IRA","-10.44970036","161.897995"
"6324","Lima Allen County Airport","Lima","United States","AOH","40.706902","-84.026703"
"10504","Exmouth Airport","North West Cape","Australia","EXM","-22.0333004","114.0999985"
"8100","Ustupu Island","Mulatupo O Sasardi","Panama","OGM","8.945","-77.734"
"6031","Redenção Airport","Redencao","Brazil","RDC","-8.033289909","-49.97990036"
"7932","Sao Joao Del Rei","","Brazil","JDR","-21.0863","-44.2263"
"83","Meadow Lake Airport","Meadow Lake","Canada","YLJ","54.12530136","-108.5230026"
"2808","Stavropol Shpakovskoye Airport","Stavropol","Russia","STW","45.10919952","42.1128006"
"914","Vohimarina Airport","Vohemar","Madagascar","VOH","-13.37580013","50.00279999"
"4659","Sanga Sanga Airport","Sanga Sanga","Philippines","TWT","5.046991","119.742996"
"10482","Delta Downs Airport","","","DDN","-16.99169922","141.3170013"
"813","Mkuze Airport","Mkuze","South Africa","MZQ","-27.62610054","32.04430008"
"9334","Allen C Perkinson Blackstone Army Air Field","Blackstone","United States","BKT","37.07419968","-77.95749664"
"3748","Barysiai Airport","Barysiai","Lithuania","HLJ","56.0705986","23.55809975"
"258","Akure Airport","Akure","Nigeria","AKR","7.246739864","5.301010132"
"6897","Juína Airport","Juina","Brazil","JIA","-11.419444","-58.701668"
"977","Faya Largeau Airport","Faya-largeau","Chad","FYT","17.91710091","19.11109924"
"10448","Bloomfield River Airport","Bloomfield","Australia","BFC","-15.87360001","145.3300018"
"8164","ARNHEIM/DEELEN","Hoenderloo","Netherlands","QAR","52.0597","5.8722"
"2400","Comandante Gustavo Kraemer Airport","Bage","Brazil","BGX","-31.39049911","-54.11220169"
